,"Parabolic,Bollinguer,Fractal,Tendencia,Volume",Resut
0,"null,null,null,null,null",
1,"False,put,False,put,put",WIN
2,"False,put,None,put,put",LOSS
3,"False,put,None,put,put",LOSS
4,"False,put,None,put,put",WIN
5,"put,None,None,put,put",LOSS
6,"False,put,False,put,put",WIN
7,"False,put,None,put,put",LOSS
8,"False,put,None,put,put",WIN
9,"call,call,None,False,call",LOSS
10,"False,call,None,call,call",LOSS
11,"False,put,None,put,put",WIN
12,"False,put,put,put,None",LOSS
13,"False,call,None,call,call",WIN
14,"False,call,None,call,call",LOSS
15,"False,call,False,call,call",LOSS
16,"False,call,False,call,call",WIN
17,"False,call,False,call,call",WIN
18,"False,call,None,call,call",WIN
19,"False,call,None,call,call",LOSS
20,"call,call,None,False,call",WIN
21,"False,call,None,call,call",WIN
22,"False,call,None,call,call",WIN
